TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST RATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
ATL,ATL vs. PHI,4/10/18,L,48,105.6,113.1,-7.5,65.9,2.7,18.4,22,69.4,43.5,9.3,48.5,51.6,107,43.5
ATL,ATL @ BOS,4/8/18,W,48,119.1,115.2,3.9,53.5,1.77,17.8,28.9,75,51.7,13.8,58.7,60.8,93,47.7
ATL,ATL @ WAS,4/6/18,W,48,102,97,5,63.2,1.33,18.2,18.2,81.5,53.1,17.8,55.1,57.8,100.5,53.3
ATL,ATL vs. MIA,4/4/18,L,48,85.1,113.9,-28.7,60.6,1.25,14.8,23,74.1,47,15.8,41.7,44.1,101,34.6
ATL,ATL @ MIA,4/3/18,L,48,99,102,-3,64.9,1.33,17.4,28.3,74.5,51,18.2,49.4,51.8,99,47.8
ATL,ATL vs. ORL,4/1/18,W,48,101.1,93.6,7.5,80.5,2.06,24.4,20.5,76.6,53.7,17.2,54.7,55,93.5,58
ATL,ATL vs. PHI,3/30/18,L,48,84.3,95.3,-11,66.7,1.41,15.9,29.4,82.1,53.2,15.7,40.1,42.3,107,41.8
ATL,ATL @ MIN,3/28/18,L,48,110.7,123.5,-12.8,63.4,1.37,19.1,18.4,79.1,50.6,18.4,61.7,65.4,102.5,46.1
ATL,ATL @ HOU,3/25/18,L,48,99,119.2,-20.2,46.2,1.38,14.3,16.3,83,49,13,50.6,53.3,99.5,41
ATL,ATL @ GSW,3/23/18,L,48,97.9,111.6,-13.7,64.9,2.18,18.2,23.5,80.8,52.4,11.5,50.6,50.6,95.5,43.3
ATL,ATL @ SAC,3/22/18,L,48,92.8,109.4,-16.6,57.6,1.36,15,22.6,70,45.6,14.4,46.4,49,96.5,40.2
ATL,ATL @ UTA,3/20/18,W,48,97.1,92.2,4.9,55.3,1.62,15.1,27.6,74.1,50.9,12.7,45.2,48.4,102,52.7
ATL,ATL @ MIL,3/17/18,L,48,109.3,114,-4.7,59,1.21,16.4,23.9,80.4,52.2,17.8,52.9,60.1,107,44
ATL,ATL vs. CHA,3/15/18,L,48,113.6,125.2,-11.7,71.4,2.5,20.8,22.2,85.7,52.4,11.7,55.6,57.7,103,44.7
ATL,ATL vs. OKC,3/13/18,L,48,113.8,125.3,-11.4,70.3,1.73,18.6,38.5,71.4,54.5,16,50,54.8,94.5,43.7
ATL,ATL vs. CHI,3/11/18,L,48,122,127.7,-5.7,76.2,2,23.2,16.3,73.1,47.4,16,62.8,66.5,100.5,48.9
ATL,ATL @ IND,3/9/18,L,48,89.7,113.1,-23.4,61.8,1.11,16.7,18.4,67.4,42.1,19.6,47.6,50.3,98,39.6
