TEAM,MATCH UP,GAME DATE,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-
ATL,ATL vs. PHI,4/10/18,L,240,113,41,98,41.8,13,37,35.1,18,26,69.2,8,31,39,27,10,3,10,24,-8
ATL,ATL @ BOS,4/8/18,W,240,112,43,86,50,15,35,42.9,11,14,78.6,5,32,37,23,7,4,13,19,6
ATL,ATL @ WAS,4/6/18,W,240,103,38,79,48.1,11,33,33.3,16,23,69.6,7,43,50,24,5,5,18,22,6
ATL,ATL vs. MIA,4/4/18,L,240,86,33,90,36.7,9,30,30,11,17,64.7,10,38,48,20,5,6,16,16,-29
ATL,ATL @ MIA,4/3/18,L,240,98,37,88,42,13,33,39.4,11,15,73.3,12,37,49,24,10,1,18,15,-3
ATL,ATL vs. ORL,4/1/18,W,240,94,41,85,48.2,11,36,30.6,1,1,100,5,47,52,33,0,3,16,15,6
ATL,ATL vs. PHI,3/30/18,L,240,91,36,101,35.6,9,39,23.1,10,15,66.7,15,44,59,24,9,4,17,14,-10
ATL,ATL @ MIN,3/28/18,L,240,114,41,77,53.2,13,27,48.1,19,23,82.6,4,33,37,26,10,2,19,22,-12
ATL,ATL @ HOU,3/25/18,L,240,99,39,88,44.3,11,40,27.5,10,11,90.9,7,38,45,18,5,2,13,14,-19
ATL,ATL @ GSW,3/23/18,L,240,94,37,84,44,11,32,34.4,9,20,45,5,39,44,24,5,5,11,14,-12
ATL,ATL @ SAC,3/22/18,L,240,90,33,84,39.3,12,36,33.3,12,18,66.7,6,34,40,19,7,2,14,10,-15
ATL,ATL @ UTA,3/20/18,W,240,99,38,94,40.4,9,33,27.3,14,19,73.7,11,41,52,21,7,3,13,23,5
ATL,ATL @ MIL,3/17/18,L,240,117,39,85,45.9,12,36,33.3,27,28,96.4,8,36,44,23,7,4,19,25,-5
ATL,ATL vs. CHA,3/15/18,L,240,117,42,90,46.7,16,36,44.4,17,26,65.4,6,40,46,30,5,2,12,27,-12
ATL,ATL vs. OKC,3/13/18,L,240,107,37,87,42.5,13,31,41.9,20,24,83.3,13,34,47,26,5,5,15,25,-12
ATL,ATL vs. CHI,3/11/18,L,240,122,42,82,51.2,19,40,47.5,19,22,86.4,5,37,42,32,2,5,16,14,-7
ATL,ATL @ IND,3/9/18,L,240,87,34,82,41.5,10,33,30.3,9,10,90,6,29,35,21,11,4,19,13,-25
ATL,ATL @ TOR,3/6/18,L,240,90,34,80,42.5,6,21,28.6,16,21,76.2,12,32,44,22,8,6,22,25,-16
ATL,ATL vs. PHX,3/4/18,W,240,113,43,94,45.7,17,33,51.5,10,12,83.3,9,40,49,23,7,5,16,18,1
ATL,ATL vs. GSW,3/2/18,L,240,109,38,86,44.2,15,35,42.9,18,20,90,3,32,35,21,10,2,22,21,-5
ATL,ATL vs. IND,2/28/18,W,240,107,38,87,43.7,9,29,31,22,27,81.5,15,34,49,21,13,11,21,23,5
ATL,ATL vs. LAL,2/26/18,L,240,104,36,96,37.5,8,36,22.2,24,34,70.6,8,33,41,21,14,3,13,17,-19
ATL,ATL @ IND,2/23/18,L,240,93,37,82,45.1,7,31,22.6,12,19,63.2,6,34,40,14,9,7,22,20,-23
ATL,ATL @ DET,2/14/18,L,240,98,38,89,42.7,6,33,18.2,16,19,84.2,8,35,43,25,9,4,11,21,-6
ATL,ATL @ MIL,2/13/18,L,240,92,33,86,38.4,12,35,34.3,14,20,70,14,36,50,21,7,6,14,14,-5
